('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SensorConstraint', 'http://www.w3.org/ns/sosa/madeObservation', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#53ce851efcc81411ff9807be4d57da5f', 'https://saref.etsi.org/core/Appliance', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#0ac542fe05bf1e2555a2cb0118d23dc8', 'https://saref.etsi.org/core/controls', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#2345a9450c33fbb788750c507e07ab01', 'https://saref.etsi.org/core/isExecutionOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#999b5618108abe603e6661cdbe7506e4', 'https://saref.etsi.org/core/measurementMadeBy', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#502898d72a77a36190b2820684311a5b', 'https://saref.etsi.org/core/hasTimestamp', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#1992b26d2cf2fca1c2b726764c8a4650', 'https://saref.etsi.org/core/CommandOfInterest', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#063d7966d5bb5967dca9c2fed9e1416a', 'http://www.w3.org/ns/sosa/isSampleOf', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#0831e7917a121fbc38cfb267ab2e1ace', 'http://www.w3.org/ns/ssn/Output', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#b28f1a50b3141c95955799dfa1cd4295', 'http://www.w3.org/ns/sosa/observedProperty', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#00dd6c55f68ca7d72892137aaaa8cb6f', 'https://saref.etsi.org/core/makesMeasurement', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#3f77887532cb585c30865c73c18f4a62', 'https://saref.etsi.org/core/TemperatureSensor', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#937607848ac9b4ded3b6e8acc3608034', 'http://www.w3.org/2004/02/skos/core#broader', 'http://www.w3.org/ns/shacl#path')
