('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ObservationCollectionConstraint', 'http://www.w3.org/ns/sosa/phenomenonTime', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SensorConstraint', 'http://www.w3.org/ns/sosa/madeObservation', 'http://www.w3.org/ns/shacl#path')
('https://saref.etsi.org/core/FeatureOfInterest', 'https://saref.etsi.org/core/madeExecution', 'https://saref.etsi.org/core/ProcedureExecution')
('https://astrea.linkeddata.es/shapes#e61935f1cc0fbdc80be67c061e1cbf71', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#01880a796c2df7337b5c1375c51b5b7d', 'https://saref.etsi.org/core/Observation', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#de327a2e129d6df403addd12a0de663f', 'https://saref.etsi.org/core/SetAbsoluteLevelCommand', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#c4b64fa4bce8c5b66b94e01896c98bd1', 'http://www.w3.org/2004/02/skos/core#broader', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/Sensor', 'http://www.w3.org/ns/sosa/madeObservation', 'http://www.w3.org/ns/sosa/Observation')
('https://astrea.linkeddata.es/shapes#95a321de34ca717324aabf2afab8a80b', 'http://www.w3.org/ns/ssn/isProxyFor', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#8b6c87bc4f03bc761baf9f3299f12e6c', 'https://saref.etsi.org/core/Actuation', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#e61935f1cc0fbdc80be67c061e1cbf71', 'http://www.w3.org/ns/sosa/phenomenonTime', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/ObservationCollection', 'http://www.w3.org/ns/sosa/hasFeatureOfInterest', 'http://www.w3.org/ns/sosa/FeatureOfInterest')
('https://astrea.linkeddata.es/shapes#a90e6282ef030f7595c3a9f1a2b8c09f', 'http://purl.org/vocommons/voaf#Vocabulary', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplingConstraint', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#path')
('http://www.w3.org/ns/sosa/Sampling', 'http://www.w3.org/ns/sosa/hasResult', 'http://www.w3.org/ns/sosa/Result')
('https://astrea.linkeddata.es/shapes#4a0fe07d77e1568c9f6119967b7b3d3a', 'http://www.w3.org/ns/sosa/Actuation', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#5a85c18525f8403f2a44bb904fc90c39', 'https://saref.etsi.org/core/hasPropertyValue', 'http://www.w3.org/ns/shacl#path')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/ActuatorConstraint', 'http://www.w3.org/ns/sosa/Actuator', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplingConstraint', 'http://www.w3.org/ns/sosa/Sampling', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#c4824c54856675d123ffa7f31ec15b71', 'https://saref.etsi.org/core/Task', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#9f265900343a6e84c3746dab5f1aa56e', 'https://saref.etsi.org/core/Time', 'http://www.w3.org/ns/shacl#targetClass')
('https://astrea.linkeddata.es/shapes#a5d7dc4cca0b8c95d788757ecad48e27', 'https://saref.etsi.org/core/GetCurrentMeterValueCommand', 'http://www.w3.org/ns/shacl#targetClass')
('https://saref.etsi.org/core/Property', 'https://saref.etsi.org/core/isControlledByDevice', 'https://saref.etsi.org/core/Device')
('https://astrea.linkeddata.es/shapes#34c0f55f8f3f3c58d9cb361df2984c77', 'https://saref.etsi.org/core/madeExecution', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#c3fb6ea8abe3a615c4212b0c35aadd3c', 'http://www.w3.org/ns/sosa/usedProcedure', 'http://www.w3.org/ns/shacl#path')
('https://astrea.linkeddata.es/shapes#1814f0e8a0589bb29b6eb6a35029c58d', 'https://saref.etsi.org/core/NotifyCommand', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Result', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/sosa/Sampling')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/SamplerConstraint', 'http://www.w3.org/ns/sosa/Sampler', 'http://www.w3.org/ns/shacl#targetClass')
('http://www.w3.org/ns/sosa/Result', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/sosa/Observation')
('http://www.w3.org/ns/sosa/Result', 'http://www.w3.org/ns/sosa/isResultOf', 'http://www.w3.org/ns/sosa/Actuation')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/madeBySensorRangeConstraint', 'http://www.w3.org/ns/sosa/madeBySensor', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('https://astrea.linkeddata.es/shapes#c3fb6ea8abe3a615c4212b0c35aadd3c', 'http://www.w3.org/ns/sosa/Sampling', 'http://www.w3.org/ns/shacl#targetClass')
('http://stko-kwg.geog.ucsb.ed/sosa-shacl/isActedOnByRangeConstraint', 'http://www.w3.org/ns/sosa/isActedOnBy', 'http://www.w3.org/ns/shacl#targetObjectsOf')
('http://www.w3.org/ns/sosa/Actuator', 'http://www.w3.org/ns/sosa/madeActuation', 'http://www.w3.org/ns/sosa/Actuation')
('http://www.w3.org/ns/sosa/Sensor', 'http://www.w3.org/ns/sosa/observes', 'http://www.w3.org/ns/sosa/ObservableProperty')
